sample_id,char_id,sample_index,group_key,split
0/0,0,0,0,train
0/1,0,1,1,train
0/10,0,10,10,train
0/11,0,11,11,train
0/12,0,12,12,train
0/13,0,13,13,train
0/14,0,14,14,train
0/15,0,15,15,val
0/16,0,16,16,val
0/17,0,17,17,val
0/18,0,18,18,test
0/19,0,19,19,test
0/2,0,2,2,train
0/20,0,20,20,test
0/3,0,3,3,train
0/4,0,4,4,train
0/5,0,5,5,train
0/6,0,6,6,train
0/7,0,7,7,train
0/8,0,8,8,train
0/9,0,9,9,train
1/0,1,0,0,train
1/1,1,1,1,train
1/10,1,10,10,train
1/11,1,11,11,train
1/12,1,12,12,train
1/13,1,13,13,train
1/14,1,14,14,train
1/15,1,15,15,val
1/16,1,16,16,val
1/17,1,17,17,val
1/18,1,18,18,test
1/19,1,19,19,test
1/2,1,2,2,train
1/20,1,20,20,test
1/3,1,3,3,train
1/4,1,4,4,train
1/5,1,5,5,train
1/6,1,6,6,train
1/7,1,7,7,train
1/8,1,8,8,train
1/9,1,9,9,train
10/0,10,0,0,train
10/1,10,1,1,train
10/10,10,10,10,train
10/11,10,11,11,train
10/12,10,12,12,train
10/13,10,13,13,train
10/14,10,14,14,train
10/15,10,15,15,val
10/16,10,16,16,val
10/17,10,17,17,val
10/18,10,18,18,test
10/19,10,19,19,test
10/2,10,2,2,train
10/20,10,20,20,test
10/3,10,3,3,train
10/4,10,4,4,train
10/5,10,5,5,train
10/6,10,6,6,train
10/7,10,7,7,train
10/8,10,8,8,train
10/9,10,9,9,train
11/0,11,0,0,train
11/1,11,1,1,train
11/10,11,10,10,train
11/11,11,11,11,train
11/12,11,12,12,train
11/13,11,13,13,train
11/14,11,14,14,train
11/15,11,15,15,val
11/16,11,16,16,val
11/17,11,17,17,val
11/18,11,18,18,test
11/19,11,19,19,test
11/2,11,2,2,train
11/20,11,20,20,test
11/3,11,3,3,train
11/4,11,4,4,train
11/5,11,5,5,train
11/6,11,6,6,train
11/7,11,7,7,train
11/8,11,8,8,train
11/9,11,9,9,train
12/0,12,0,0,train
12/1,12,1,1,train
12/10,12,10,10,train
12/11,12,11,11,train
12/12,12,12,12,train
12/13,12,13,13,train
12/14,12,14,14,train
12/15,12,15,15,val
12/16,12,16,16,val
12/17,12,17,17,val
12/18,12,18,18,test
12/19,12,19,19,test
12/2,12,2,2,train
12/20,12,20,20,test
12/3,12,3,3,train
12/4,12,4,4,train
12/5,12,5,5,train
12/6,12,6,6,train
12/7,12,7,7,train
12/8,12,8,8,train
12/9,12,9,9,train
13/0,13,0,0,train
13/1,13,1,1,train
13/10,13,10,10,train
13/11,13,11,11,train
13/12,13,12,12,train
13/13,13,13,13,train
13/14,13,14,14,train
13/15,13,15,15,val
13/16,13,16,16,val
13/17,13,17,17,val
13/18,13,18,18,test
13/19,13,19,19,test
13/2,13,2,2,train
13/20,13,20,20,test
13/3,13,3,3,train
13/4,13,4,4,train
13/5,13,5,5,train
13/6,13,6,6,train
13/7,13,7,7,train
13/8,13,8,8,train
13/9,13,9,9,train
14/0,14,0,0,train
14/1,14,1,1,train
14/10,14,10,10,train
14/11,14,11,11,train
14/12,14,12,12,train
14/13,14,13,13,train
14/14,14,14,14,train
14/15,14,15,15,val
14/16,14,16,16,val
14/17,14,17,17,val
14/18,14,18,18,test
14/19,14,19,19,test
14/2,14,2,2,train
14/20,14,20,20,test
14/3,14,3,3,train
14/4,14,4,4,train
14/5,14,5,5,train
14/6,14,6,6,train
14/7,14,7,7,train
14/8,14,8,8,train
14/9,14,9,9,train
15/0,15,0,0,train
15/1,15,1,1,train
15/10,15,10,10,train
15/11,15,11,11,train
15/12,15,12,12,train
15/13,15,13,13,train
15/14,15,14,14,train
15/15,15,15,15,val
15/16,15,16,16,val
15/17,15,17,17,val
15/18,15,18,18,test
15/19,15,19,19,test
15/2,15,2,2,train
15/20,15,20,20,test
15/3,15,3,3,train
15/4,15,4,4,train
15/5,15,5,5,train
15/6,15,6,6,train
15/7,15,7,7,train
15/8,15,8,8,train
15/9,15,9,9,train
16/0,16,0,0,train
16/1,16,1,1,train
16/10,16,10,10,train
16/11,16,11,11,train
16/12,16,12,12,train
16/13,16,13,13,train
16/14,16,14,14,train
16/15,16,15,15,val
16/16,16,16,16,val
16/17,16,17,17,val
16/18,16,18,18,test
16/19,16,19,19,test
16/2,16,2,2,train
16/20,16,20,20,test
16/3,16,3,3,train
16/4,16,4,4,train
16/5,16,5,5,train
16/6,16,6,6,train
16/7,16,7,7,train
16/8,16,8,8,train
16/9,16,9,9,train
17/0,17,0,0,train
17/1,17,1,1,train
17/10,17,10,10,train
17/11,17,11,11,train
17/12,17,12,12,train
17/13,17,13,13,train
17/14,17,14,14,train
17/15,17,15,15,val
17/16,17,16,16,val
17/17,17,17,17,val
17/18,17,18,18,test
17/19,17,19,19,test
17/2,17,2,2,train
17/20,17,20,20,test
17/3,17,3,3,train
17/4,17,4,4,train
17/5,17,5,5,train
17/6,17,6,6,train
17/7,17,7,7,train
17/8,17,8,8,train
17/9,17,9,9,train
18/0,18,0,0,train
18/1,18,1,1,train
18/10,18,10,10,train
18/11,18,11,11,train
18/12,18,12,12,train
18/13,18,13,13,train
18/14,18,14,14,train
18/15,18,15,15,val
18/16,18,16,16,val
18/17,18,17,17,val
18/18,18,18,18,test
18/19,18,19,19,test
18/2,18,2,2,train
18/20,18,20,20,test
18/3,18,3,3,train
18/4,18,4,4,train
18/5,18,5,5,train
18/6,18,6,6,train
18/7,18,7,7,train
18/8,18,8,8,train
18/9,18,9,9,train
19/0,19,0,0,train
19/1,19,1,1,train
19/10,19,10,10,train
19/11,19,11,11,train
19/12,19,12,12,train
19/13,19,13,13,train
19/14,19,14,14,train
19/15,19,15,15,val
19/16,19,16,16,val
19/17,19,17,17,val
19/18,19,18,18,test
19/19,19,19,19,test
19/2,19,2,2,train
19/20,19,20,20,test
19/3,19,3,3,train
19/4,19,4,4,train
19/5,19,5,5,train
19/6,19,6,6,train
19/7,19,7,7,train
19/8,19,8,8,train
19/9,19,9,9,train
2/0,2,0,0,train
2/1,2,1,1,train
2/10,2,10,10,train
2/11,2,11,11,train
2/12,2,12,12,train
2/13,2,13,13,train
2/14,2,14,14,train
2/15,2,15,15,val
2/16,2,16,16,val
2/17,2,17,17,val
2/18,2,18,18,test
2/19,2,19,19,test
2/2,2,2,2,train
2/20,2,20,20,test
2/3,2,3,3,train
2/4,2,4,4,train
2/5,2,5,5,train
2/6,2,6,6,train
2/7,2,7,7,train
