schema_version,qc_version,sample_id,char_id,sample_index,hard_exclusion_reasons,canonical_sample_id,decision
1,dataset_qc_v1,0/14,0,14,EXACT_DUPLICATE_NONCANONICAL,0/13,EXCLUDE
1,dataset_qc_v1,1/14,1,14,EXACT_DUPLICATE_NONCANONICAL,1/13,EXCLUDE
1,dataset_qc_v1,2/14,2,14,EXACT_DUPLICATE_NONCANONICAL,2/13,EXCLUDE
1,dataset_qc_v1,3/14,3,14,EXACT_DUPLICATE_NONCANONICAL,3/13,EXCLUDE
1,dataset_qc_v1,4/14,4,14,EXACT_DUPLICATE_NONCANONICAL,4/13,EXCLUDE
1,dataset_qc_v1,5/14,5,14,EXACT_DUPLICATE_NONCANONICAL,5/13,EXCLUDE
1,dataset_qc_v1,6/14,6,14,EXACT_DUPLICATE_NONCANONICAL,6/13,EXCLUDE
1,dataset_qc_v1,7/14,7,14,EXACT_DUPLICATE_NONCANONICAL,7/13,EXCLUDE
1,dataset_qc_v1,8/14,8,14,EXACT_DUPLICATE_NONCANONICAL,8/13,EXCLUDE
1,dataset_qc_v1,9/14,9,14,EXACT_DUPLICATE_NONCANONICAL,9/13,EXCLUDE
1,dataset_qc_v1,10/14,10,14,EXACT_DUPLICATE_NONCANONICAL,10/13,EXCLUDE
1,dataset_qc_v1,11/14,11,14,EXACT_DUPLICATE_NONCANONICAL,11/13,EXCLUDE
1,dataset_qc_v1,12/14,12,14,EXACT_DUPLICATE_NONCANONICAL,12/13,EXCLUDE
1,dataset_qc_v1,13/14,13,14,EXACT_DUPLICATE_NONCANONICAL,13/13,EXCLUDE
1,dataset_qc_v1,14/14,14,14,EXACT_DUPLICATE_NONCANONICAL,14/13,EXCLUDE
1,dataset_qc_v1,15/14,15,14,EXACT_DUPLICATE_NONCANONICAL,15/13,EXCLUDE
1,dataset_qc_v1,16/14,16,14,EXACT_DUPLICATE_NONCANONICAL,16/13,EXCLUDE
1,dataset_qc_v1,17/14,17,14,EXACT_DUPLICATE_NONCANONICAL,17/13,EXCLUDE
1,dataset_qc_v1,18/14,18,14,EXACT_DUPLICATE_NONCANONICAL,18/13,EXCLUDE
1,dataset_qc_v1,19/8,19,8,EXACT_DUPLICATE_NONCANONICAL,19/7,EXCLUDE
1,dataset_qc_v1,19/14,19,14,EXACT_DUPLICATE_NONCANONICAL,19/13,EXCLUDE
