source_pair_id,char_id,target_char,candidate_instance_id,reference_instance_id,human_mean,parsed_asds_score,direct_ink_asds_score,direct_minus_parsed,direct_polar_js_similarity,direct_grid_js_similarity,direct_projection_js_similarity,direct_selected_scale,direct_selected_rotation_degrees,direct_selected_translation_x,direct_selected_translation_y,direct_alignment_ink_iou
NAT-00-127c66ff52b5,0,禾,0/0,0/6,2.3333333333333335,68.39772953013853,67.94647672999213,-0.45125280014640623,0.6590838330876991,0.7706061202554091,0.6834344406681376,1.0,-1.0,-21.0,37.0,0.3392957328140985
NAT-00-9a879fcfc3c4,0,禾,0/17,0/9,2.6666666666666665,80.1784071630284,80.16339698454836,-0.015010178480039826,0.7807480740979698,0.896679761188562,0.804055691990804,1.15,-3.0,7.0,8.0,0.5353691656666456
NAT-00-e6be8478d42a,0,禾,0/4,0/1,3.0,72.85156598299628,72.94369716576063,0.09213118276434784,0.7101861333371169,0.8190425047398134,0.7296686840710165,1.05,1.0,-3.0,24.0,0.23670212765957446
NAT-00-ffc80a44f9a9,0,禾,0/12,0/15,2.3333333333333335,68.31759486881442,66.50970188866555,-1.8078929801488783,0.6154142172186436,0.8824183190554823,0.6796287931685498,1.2,-2.0,-5.0,-42.0,0.1516342375155756
NAT-01-26d2efd20415,1,汗,1/15,1/17,2.0,58.402434555542136,57.22944856123215,-1.1729859943099896,0.5219159403753971,0.7699674132159684,0.6097214357809883,0.8,0.0,-43.0,3.0,0.26232146449406557
NAT-01-452d73e05069,1,汗,1/11,1/4,2.0,49.90843588752546,49.40834553268087,-0.5000903548445876,0.43426514997164667,0.756674546770395,0.5106444555406454,0.8500000000000001,3.0,6.0,-10.0,0.08508080030781069
NAT-01-67b99d67d208,1,汗,1/13,1/8,2.6666666666666665,73.92081114908326,73.91255268126957,-0.008258467813689663,0.7379034438711335,0.8097721732427148,0.6741819341099673,1.05,0.0,28.0,-12.0,0.30558889079375967
NAT-01-6916facc130e,1,汗,1/3,1/8,3.0,74.00928662988812,72.93716637050309,-1.0721202593850307,0.7155932685800888,0.8327793588897473,0.6902631457700452,0.95,2.0,-10.0,-23.0,0.3396807440925088
NAT-02-273d0804989b,2,心,2/4,2/18,2.6666666666666665,75.54055962304054,75.70220759401258,0.16164797097204087,0.7537024439602822,0.8719179494352584,0.65761781835093,0.95,0.0,-5.0,6.0,0.45233821445441663
NAT-02-82365b94cf5a,2,心,2/3,2/10,4.0,65.94741740584782,66.36089720926567,0.4134798034178573,0.6027202251168919,0.9383236200904987,0.6730418099817168,1.1,3.0,26.0,-20.0,0.3238272178355783
NAT-02-906a9e26cea7,2,心,2/13,2/10,2.0,64.96195564586532,64.82551166047426,-0.13644398539105396,0.5953070108810714,0.8846481993421436,0.6589531939111403,1.2,3.0,48.0,-38.0,0.25679187337585635
NAT-02-b16780aba3d8,2,心,2/5,2/7,2.3333333333333335,42.438315801543816,42.222597915805885,-0.21571788573793071,0.3453702670646718,0.6573504790163393,0.5457614690689183,0.8,-3.0,-18.0,-36.0,0.05535114381698928
NAT-03-3e6dd07c7715,3,火,3/18,3/6,2.6666666666666665,70.14175942425777,69.90653425178913,-0.23522517246864538,0.6684769157615713,0.8297903329792408,0.7110863435860346,0.9,-3.0,0.0,10.0,0.33504298201256955
NAT-03-4e9888b19d99,3,火,3/0,3/13,2.0,67.50842831773558,67.27682228426043,-0.23160603347514552,0.6471181364622564,0.7025862987379224,0.7626505500555769,1.2,3.0,-3.0,26.0,0.46678866412780057
NAT-03-5c6782c35cff,3,火,3/11,3/19,2.3333333333333335,55.78822804236275,57.088967827873084,1.3007397855103306,0.5392380509091468,0.6692820848101719,0.6202048661386822,0.8,-3.0,-6.0,1.0,0.17511792452830188
NAT-03-88033e1d6fa8,3,火,3/5,3/19,2.3333333333333335,37.772177348960746,37.23694617892056,-0.5352311700401842,0.2591027193749521,0.6739926472816086,0.5993244075633193,0.8,-3.0,-11.0,-39.0,0.06279552053090004
NAT-04-576f221c1035,4,粒,4/5,4/16,1.6666666666666667,74.01077051378665,73.19868620008172,-0.8120843137049292,0.7019449427306496,0.8960370888963214,0.7081322583660958,0.8,-3.0,-18.0,-15.0,0.2056364074937686
NAT-04-5e0175bbb439,4,粒,4/0,4/10,2.0,73.48634926196205,72.28411356281256,-1.2022356991494831,0.6891579609829371,0.8756262701529438,0.7272441494475201,1.2,-3.0,42.0,38.0,0.20290547644079135
NAT-04-bc87965b85c0,4,粒,4/11,4/16,3.0,77.12550510076433,77.38411508144537,0.2586099806810438,0.7516670471396965,0.8359022989795248,0.8152591531315831,0.8,3.0,15.0,8.0,0.3843033867369702
NAT-04-ea628a002d0a,4,粒,4/13,4/4,3.3333333333333335,81.09058670906622,80.64769696439758,-0.4428897446686335,0.7954123507519778,0.8529188700249126,0.8116699574256969,0.95,-3.0,4.0,-13.0,0.47298674821610603
NAT-05-1c2cb870b931,5,梓,5/19,5/11,3.3333333333333335,73.90829760344857,73.70849361952239,-0.1998039839261878,0.7117137326569011,0.8501982086642874,0.7423706135716672,1.15,3.0,11.0,-22.0,0.2702867957490173
NAT-05-611c92a5de56,5,梓,5/9,5/6,3.3333333333333335,75.99612846051194,75.14966085867104,-0.8464676018408994,0.7283798172773428,0.8306536177785838,0.7802179588385529,1.1,1.0,0.0,-24.0,0.4120203450939995
NAT-05-839ec5aef5e7,5,梓,5/20,5/11,3.0,70.22410470202618,69.06366866262893,-1.1604360393972541,0.6860128540895849,0.7456559507488756,0.6571953076749907,0.95,1.0,4.0,-19.0,0.18422082156053032
NAT-05-fdd095514c34,5,梓,5/16,5/18,2.6666666666666665,68.29883303438623,67.69303626332828,-0.6057967710579533,0.6496418307450768,0.7709207114548383,0.7102864959566888,1.1,1.0,-11.0,17.0,0.2980288474123714
NAT-06-5542067159fa,6,苦,6/5,6/3,2.6666666666666665,71.0177305239045,71.96116573385044,0.9434352099459318,0.6929321692829253,0.8719837770970905,0.6917438151726212,0.9,2.0,9.0,-1.0,0.26549491211840887
NAT-06-869df37419fb,6,苦,6/15,6/2,2.0,68.70685973972525,68.91020289658894,0.20334315686369564,0.6766556217163916,0.8378820031554817,0.5984052886072879,0.8,-3.0,-33.0,-28.0,0.18612239871936953
NAT-06-8fd129b806d4,6,苦,6/18,6/4,2.6666666666666665,79.88375000136065,79.98947356215777,0.10572356079711653,0.7926052533186189,0.8472522949575124,0.786554760366118,0.95,-2.0,10.0,-26.0,0.4794393703438697
NAT-06-dcc26e56bacb,6,苦,6/20,6/3,3.6666666666666665,71.35279339762414,71.42620216902017,0.07340877139603208,0.6798495775739493,0.8575045859711711,0.7316108632850772,1.15,3.0,9.0,44.0,0.3150350716681915
NAT-07-00e8637af662,7,头,7/9,7/20,2.0,71.3069971591528,69.64244007007001,-1.6645570890827912,0.6311116899515845,0.9014733469680073,0.7961681045959326,1.05,0.0,19.0,2.0,0.2681682784510548
NAT-07-4f873d7866ed,7,头,7/3,7/7,2.0,75.41425313618024,75.47198835517054,0.05773521899030243,0.7306565238204648,0.8463037605346648,0.7754316853145352,0.8,3.0,-17.0,-26.0,0.3755200350339391
NAT-07-a14a6200122a,7,头,7/2,7/10,2.3333333333333335,50.88880702660212,49.83002886543236,-1.0587781611697622,0.41292803350392615,0.6488248470949693,0.7461795875821999,1.05,-3.0,3.0,23.0,0.08487639815772159
NAT-07-ca2924be9fdf,7,头,7/11,7/1,3.6666666666666665,79.24672263405861,78.64900338298948,-0.5977192510691367,0.7649419695168728,0.8485571994786564,0.8249805016419025,0.8,-3.0,4.0,13.0,0.547568710359408
NAT-08-27b4dedfed02,8,手,8/17,8/5,1.0,57.10994167391227,56.50479872635721,-0.6051429475550592,0.5259157932070391,0.723327943861743,0.5893849362625553,1.05,-3.0,31.0,13.0,0.1341983950828069
NAT-08-8bf827a17b3c,8,手,8/3,8/10,1.3333333333333333,68.10254662090574,68.65719987589162,0.5546532549858796,0.6525160700283257,0.813947978349675,0.7181236865775809,0.8500000000000001,3.0,7.0,-27.0,0.37238734419942476
NAT-08-c3f3d7db3e5b,8,手,8/16,8/7,3.6666666666666665,85.3397717858993,84.20836655800899,-1.131405227890312,0.8292182157209153,0.9410974293774946,0.8031086677921662,0.95,-1.0,13.0,7.0,0.6043983299574222
NAT-09-5213aaa503a1,9,划,9/17,9/1,3.6666666666666665,72.44265490111692,71.7067329016584,-0.735921999458526,0.6756843363163827,0.9134594729266204,0.7137958177074875,1.2,2.0,-18.0,11.0,0.29811077715757833
NAT-09-bfb59b916e4b,9,划,9/13,9/16,2.3333333333333335,76.03073309188456,75.91637122824709,-0.1143618636374697,0.7343009061897997,0.8621110809598951,0.7722427720375126,0.95,-1.0,-5.0,19.0,0.49600330354245936
NAT-09-c857b8fc9259,9,划,9/9,9/5,2.0,56.15134510199666,55.59491004243484,-0.5564350595618208,0.5036272173566534,0.7387421558080046,0.6173248326899359,1.05,3.0,45.0,73.0,0.14341073536980412
NAT-10-2cfa85f8e4b3,10,水,10/11,10/6,2.0,63.5722818450345,61.887683771659454,-1.6845980733750494,0.5982836365061625,0.6653207294530068,0.6685345516288655,1.0,3.0,-19.0,-19.0,0.2221164662109544
NAT-10-39def0d8258d,10,水,10/20,10/19,4.666666666666667,94.16006968922397,94.06276095825223,-0.09730873097174708,0.9339169179836646,0.9886707296962778,0.9239010502634367,0.95,0.0,0.0,-2.0,0.631499756604859
NAT-10-5dd0b76319e1,10,水,10/17,10/15,3.6666666666666665,72.94729034483065,71.99675512282198,-0.9505352220086678,0.7293586796041218,0.7436014022178088,0.6525084344844216,1.2,-3.0,-1.0,34.0,0.22933876778630954
NAT-10-f47666ced70d,10,水,10/9,10/6,2.3333333333333335,69.99654230563947,69.03500940426098,-0.9615329013784901,0.6552864436736686,0.8249560487783392,0.7193745076952722,1.15,3.0,-24.0,-17.0,0.3187066974595843
NAT-11-0e9d9f17b44e,11,李,11/19,11/15,2.6666666666666665,67.85647420202675,67.83822609731716,-0.018248104709584823,0.6434686824604674,0.8109919794568888,0.7087025755487406,1.15,3.0,0.0,-11.0,0.31124026214912826
NAT-11-1ce10b1e545d,11,李,11/0,11/11,2.0,69.62358313775272,69.5651869064592,-0.058396231293514234,0.6698091550451739,0.7713404775334611,0.7405625926863405,1.2,1.0,-6.0,32.0,0.467941400304414
NAT-11-577542cbf55c,11,李,11/13,11/2,4.0,72.05272986721128,72.25727305218133,0.2045431849700492,0.6769714106900209,0.8571878941610829,0.800763726097576,0.95,-1.0,-6.0,6.0,0.3126190865044368
NAT-11-b40cf3185803,11,李,11/5,11/11,2.0,65.97136344507588,65.76543075940502,-0.20593268567085943,0.6122694733309808,0.8614401125973694,0.6656643958183878,1.05,-2.0,-1.0,-13.0,0.2191876002137894
NAT-12-4ec366144756,12,云,12/3,12/4,3.3333333333333335,70.55597429336973,70.44206294920127,-0.11391134416845716,0.6519421163736219,0.8671202228466858,0.7866207640231646,0.9,2.0,-19.0,-16.0,0.4230266976204295
NAT-12-514056135bc2,12,云,12/15,12/13,2.3333333333333335,53.309743661979766,53.31909974458551,0.009356082605741278,0.46037867882919226,0.8050184227548036,0.6011543923479997,1.0,-3.0,15.0,3.0,0.21807856682864002
NAT-12-699db07b27e2,12,云,12/5,12/7,2.0,68.74120571942713,67.48076106425448,-1.2604446551726483,0.639671247055128,0.8269281524616966,0.6866567655646719,0.8500000000000001,3.0,-18.0,-34.0,0.2586800954147893
NAT-12-e81ed9e4d852,12,云,12/9,12/2,4.0,80.02264007968203,79.60852389971517,-0.414116179966868,0.7740707642962973,0.8893441763035137,0.8055605169614437,0.95,-1.0,9.0,2.0,0.5479286080432453
NAT-13-29c131aac7ab,13,冷,13/0,13/11,2.0,63.67812223084213,62.66493757753058,-1.0131846533115478,0.625213601131688,0.6822935102053262,0.5777055230155023,1.2,3.0,22.0,26.0,0.10357264375637971
NAT-13-6791e0f5e9b8,13,冷,13/12,13/19,2.0,66.08917321311323,65.50424464887797,-0.5849285642352555,0.6123745806692872,0.7386791833777315,0.7705224167574598,0.8500000000000001,1.0,-52.0,-19.0,0.33702555764442865
NAT-13-6d2ddff2cfd3,13,冷,13/2,13/7,1.3333333333333333,61.382864784944324,60.487477639471045,-0.8953871454732791,0.5520582667176398,0.7416522599176616,0.7145743380314221,0.9,-3.0,26.0,-5.0,0.2688562322946176
NAT-13-b643f5250b30,13,冷,13/8,13/11,2.0,66.43477180811546,64.79200724179175,-1.6427645663237058,0.6249754473657555,0.7486098498523459,0.6543052118935784,1.2,-3.0,16.0,0.0,0.21345971563981042
NAT-14-77a80e4204e6,14,风,14/11,14/0,2.3333333333333335,59.90683876456426,59.42086697654288,-0.48597178802138075,0.5892911516943333,0.5946729309637588,0.6166928262322112,0.8,3.0,-24.0,9.0,0.12790179336830915
NAT-14-8971b5bb9e16,14,风,14/1,14/10,2.0,76.45652555941672,76.08748380977998,-0.36904174963673597,0.738535848295439,0.895924607347941,0.7300736879253424,1.0,3.0,-1.0,7.0,0.3101481948082087
