experiment_name,split_name,model_name,seed,checkpoint_path,checkpoint_size_bytes,checkpoint_sha256,thresholds_sha256,test_metrics_sha256,expected_checkpoint_sha256,expected_thresholds_sha256,expected_test_metrics_sha256,hashes_verified,run_status,run_started_at_utc,run_ended_at_utc
main_qc_unet_seed_20260811,main_qc,unet,20260811,artifacts/paper_ijdar/main_qc/runs/unet_seed_20260811/checkpoints/best.pt,93263576,39868d61ac7e02be1e16b6c01b6a832a2dc5cf224d0efa80cc76abbeb0f8b303,842c971dead70ed5ba3c4682eb2fbe91f69b64a39201aa222f6d34c75c7aafe1,cd64276fc891a7bb80dfca12bdbad716fdcdcebc4763fead6e4443f43a6345cd,39868d61ac7e02be1e16b6c01b6a832a2dc5cf224d0efa80cc76abbeb0f8b303,842c971dead70ed5ba3c4682eb2fbe91f69b64a39201aa222f6d34c75c7aafe1,cd64276fc891a7bb80dfca12bdbad716fdcdcebc4763fead6e4443f43a6345cd,True,COMPLETED,2026-08-13T13:59:01.806319+00:00,2026-08-13T14:26:52.686264+00:00
main_qc_unet_seed_314159,main_qc,unet,314159,artifacts/paper_ijdar/main_qc/runs/unet_seed_314159/checkpoints/best.pt,93263576,fdd2fb36aaa14fb716d792d279bf96e09ef3cd68a723184f720863ec330908a6,f36fcbb2f9a65a33d0428942c8b894e72b1c244f6abcfb278a1aafdfe104686e,d77c730800fd78aa2356b443db67411ca14db911bf8db58f2db8e9df57ed8a4a,fdd2fb36aaa14fb716d792d279bf96e09ef3cd68a723184f720863ec330908a6,f36fcbb2f9a65a33d0428942c8b894e72b1c244f6abcfb278a1aafdfe104686e,d77c730800fd78aa2356b443db67411ca14db911bf8db58f2db8e9df57ed8a4a,True,COMPLETED,2026-08-13T14:26:52.687236+00:00,2026-08-13T15:02:46.920450+00:00
main_qc_unet_seed_271828,main_qc,unet,271828,artifacts/paper_ijdar/main_qc/runs/unet_seed_271828/checkpoints/best.pt,93263576,5008ce8503555895c79181b5e9e3de31d985722983cc17d57d221d6b6ce41fa5,631943a6af926dbcf1ee47e3ba6b47e3c402e6f2875f0fe5045315f61405e2a9,1f1d284cd478eae6c6dd7c8ad3b49378fc99ce645f3840fbda4f15c8bdc4710b,5008ce8503555895c79181b5e9e3de31d985722983cc17d57d221d6b6ce41fa5,631943a6af926dbcf1ee47e3ba6b47e3c402e6f2875f0fe5045315f61405e2a9,1f1d284cd478eae6c6dd7c8ad3b49378fc99ce645f3840fbda4f15c8bdc4710b,True,COMPLETED,2026-08-13T15:02:46.921329+00:00,2026-08-13T15:38:40.944453+00:00
main_qc_deeplabv3plus_seed_20260811,main_qc,deeplabv3plus,20260811,artifacts/paper_ijdar/main_qc/runs/deeplabv3plus_seed_20260811/checkpoints/best.pt,484653780,e3bc8dc37b441a9a85baf11345bd45529b5107cfb1e2dc95c9443933bf80bf62,71549929d69b456b1c86316996e45672a56ef906d64e47f5a7211baefee8e1c4,014ad05e398fa4c17a4534ac31ca7ff93f5038e7602fac4f20728ba6872e2f5e,e3bc8dc37b441a9a85baf11345bd45529b5107cfb1e2dc95c9443933bf80bf62,71549929d69b456b1c86316996e45672a56ef906d64e47f5a7211baefee8e1c4,014ad05e398fa4c17a4534ac31ca7ff93f5038e7602fac4f20728ba6872e2f5e,True,COMPLETED,2026-08-13T15:38:40.945074+00:00,2026-08-13T15:48:16.259008+00:00
main_qc_deeplabv3plus_seed_314159,main_qc,deeplabv3plus,314159,artifacts/paper_ijdar/main_qc/runs/deeplabv3plus_seed_314159/checkpoints/best.pt,484653780,831b3c774b18b755f333d641775ecd2451e6487a98a7c27581aa99ddb56f31b2,dd9a77148dc160adf4ef2f6e1f57f30546d60262d0dfcffb68b5e632f74f78de,3f3fa9583d3838a4f230bf49c26bc1e650705dd34d33f08d18a2ca2a3c31d49b,831b3c774b18b755f333d641775ecd2451e6487a98a7c27581aa99ddb56f31b2,dd9a77148dc160adf4ef2f6e1f57f30546d60262d0dfcffb68b5e632f74f78de,3f3fa9583d3838a4f230bf49c26bc1e650705dd34d33f08d18a2ca2a3c31d49b,True,COMPLETED,2026-08-13T15:48:16.259887+00:00,2026-08-13T16:00:54.750408+00:00
main_qc_deeplabv3plus_seed_271828,main_qc,deeplabv3plus,271828,artifacts/paper_ijdar/main_qc/runs/deeplabv3plus_seed_271828/checkpoints/best.pt,484653780,dcca4741f3190c1af33811045e67378e91ea099cbf80ac1b925de5eb43e49617,92853255263b2c7489898eac5ec769dc49e06792bc2d1a40f06ce5ab8f0ce055,e905d7c2badba013a612ae6a430b8d3b5389aae6841b19efdc0820ce5f9bc22a,dcca4741f3190c1af33811045e67378e91ea099cbf80ac1b925de5eb43e49617,92853255263b2c7489898eac5ec769dc49e06792bc2d1a40f06ce5ab8f0ce055,e905d7c2badba013a612ae6a430b8d3b5389aae6841b19efdc0820ce5f9bc22a,True,COMPLETED,2026-08-13T16:00:54.751417+00:00,2026-08-13T16:28:54.249096+00:00
main_qc_segformer_b2_seed_20260811,main_qc,segformer,20260811,artifacts/paper_ijdar/main_qc/runs/segformer_b2_seed_20260811/checkpoints/best.pt,328625058,c58c409279372af0c5846e00d74d660d05c0055a4c2d387d9e58bbc03b82dd54,8516b9df933b438d9a83b1fb50b1c1391049cd16b08d4d046e144d846caa765a,c0c4d56c805e33168bc52ed058bc8ed126b814ee4d728ed1a256ad67e300c111,c58c409279372af0c5846e00d74d660d05c0055a4c2d387d9e58bbc03b82dd54,8516b9df933b438d9a83b1fb50b1c1391049cd16b08d4d046e144d846caa765a,c0c4d56c805e33168bc52ed058bc8ed126b814ee4d728ed1a256ad67e300c111,True,COMPLETED,2026-08-13T16:28:54.249590+00:00,2026-08-13T16:55:58.879617+00:00
main_qc_segformer_b2_seed_314159,main_qc,segformer,314159,artifacts/paper_ijdar/main_qc/runs/segformer_b2_seed_314159/checkpoints/best.pt,328625058,513e883685835775539e9ee420c019b3e5e65e78a5c97dbf182a2e62f47dd83c,0a82827fbe91ae39fd662eda8a1dd5d0bbd2456598b33856d6f5a5a40fc88779,f114ab37aec8ef0759464d6264bc531455a9c0024549bff95a3bf0d59536abbd,513e883685835775539e9ee420c019b3e5e65e78a5c97dbf182a2e62f47dd83c,0a82827fbe91ae39fd662eda8a1dd5d0bbd2456598b33856d6f5a5a40fc88779,f114ab37aec8ef0759464d6264bc531455a9c0024549bff95a3bf0d59536abbd,True,COMPLETED,2026-08-13T16:55:58.880610+00:00,2026-08-13T17:23:07.590613+00:00
main_qc_segformer_b2_seed_271828,main_qc,segformer,271828,artifacts/paper_ijdar/main_qc/runs/segformer_b2_seed_271828/checkpoints/best.pt,328625058,c6261a210248df490f6641661648937adaba0c43bc194b9afccd22edb430875c,acd9fda443ff6476f685079f4fe38ab8cfdb6f6c3ca4ec6eed8d91432970f215,9aff75d9299408d591e2fa9e224f2e06de477aa8cb5d747e57795753d2ea8a8b,c6261a210248df490f6641661648937adaba0c43bc194b9afccd22edb430875c,acd9fda443ff6476f685079f4fe38ab8cfdb6f6c3ca4ec6eed8d91432970f215,9aff75d9299408d591e2fa9e224f2e06de477aa8cb5d747e57795753d2ea8a8b,True,COMPLETED,2026-08-13T17:23:07.591608+00:00,2026-08-13T17:40:33.098233+00:00
character_disjoint_unet_seed_20260811,character_disjoint,unet,20260811,artifacts/paper_ijdar/character_disjoint/runs/unet_seed_20260811/checkpoints/best.pt,93263640,d89e1b29bdc7a932e66d6e95975c6347e776846ebde75212b5581b46427a1679,e228ddcd02660ff6fd9e1912e3877905215b45220b4b76b716d7a5c15ed97f78,e3c566467119abeff4ed332e43a1ed386da93db616935db45ddef828eec434b7,d89e1b29bdc7a932e66d6e95975c6347e776846ebde75212b5581b46427a1679,e228ddcd02660ff6fd9e1912e3877905215b45220b4b76b716d7a5c15ed97f78,e3c566467119abeff4ed332e43a1ed386da93db616935db45ddef828eec434b7,True,COMPLETED,2026-08-13T17:40:33.099354+00:00,2026-08-13T17:59:34.092302+00:00
